"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I39","Alexandra Fedorovna ""Alix""","Tsarina","F",1872,1918,"F4","F8",10,8,6,12,8,16,6,7,6,5,5,5
"I40","Alexander III Alexandrovich (Romanov)","Tsar of Russia","M",1845,1894,"F9","F11",9,7,6,11,7,14,6,7,8,6,5,6
"I41","Dagmar ""Marie"" of Denmark","Tsarina","F",1847,1928,"F9","F74",10,6,5,12,6,15,5,6,8,5,5,5
"I42","Nicholas I  (Romanov)","Tsar of Russia","M",1796,1855,"F10","F469",7,9,8,10,9,13,8,6,8,5,5,5
"I43","Charlotte of Prussia","Princess","F",1798,1860,"F10","F145",7,8,7,9,8,12,7,6,8,5,5,5
"I44","Alexander II Nicholoevich (Romanov)","Tsar of Russia","M",1818,1881,"F11 - F593","F10",8,8,7,10,8,13,7,7,7,6,5,6
"I45","Marie of Hesse- Darmstadt",,"F",1824,1880,"F11","F110",9,8,7,10,8,14,7,7,7,6,5,6
"I46","Olga Nicholovna (Romanov)","Grand Duchess","F",1895,1918,"","F4",11,8,7,13,8,16,7,8,7,6,5,6
"I47","Tatiana Nicholovna","Grand Duchess","F",1897,1918,"","F4",11,8,7,13,8,16,7,8,7,6,5,6
"I48","Maria Nicholovna (Romanov)","Grand Duchess","F",1899,1918,"","F4",11,8,7,13,8,16,7,8,7,6,5,6
"I49","Anastasia Nicholovna (Romanov)","Grand Duchess","F",1901,1918,"","F4",11,8,7,13,8,16,7,8,7,6,5,6
"I50","Alexis Nicolaievich (Romanov)","Tsarevich","M",1904,1918,"","F4",11,8,7,13,8,16,7,8,7,6,5,6
"I51","Elizabeth Angela Marguerit (Bowes-Lyon)","Lady","F",1900,,"F12","F46",12,9,8,15,9,18,6,8,8,1,5,1
"I52","Elizabeth II Alexandra Mar (Windsor)","Queen of England","F",1926,,"F14","F12",12,9,7,14,9,17,6,7,7,0,5,0
"I53","Margaret Rose (Windsor)","Princess","F",1930,,"F13","F12",12,9,8,15,9,18,6,9,8,2,5,2
"I54","Anthony Charles Rober (Armstrong-Jones)","Earl of Snowdon","M",1930,,"F13 - F1410","",13,10,9,16,10,19,7,10,9,3,5,3
"I55","David Albert Charle (Armstrong-Jones)","Vicount Linley","M",1961,,"","F13",13,10,9,16,10,19,7,10,9,3,5,3
"I56","Sarah Frances Elizabet (Armstrong-Jones)","Lady","F",1964,,"","F13",13,10,9,16,10,19,7,10,9,3,5,3
"I57","Philip  (Mountbatten)","Prince","M",1921,,"F14","F28",11,8,6,13,8,16,7,6,6,1,5,1
