"source","target","family_id","type","min_dist_to_royal"
"I17","I450","F21","mother-child",2
"I79","I72","F22","wife-husband",5
"I72","I80","F22","father-child",5
"I79","I80","F22","mother-child",5
"I72","I81","F22","father-child",5
"I79","I81","F22","mother-child",5
"I72","I82","F22","father-child",5
"I79","I82","F22","mother-child",5
"I89","I88","F23","wife-husband",5
"I88","I90","F23","father-child",4
"I89","I90","F23","mother-child",5
"I88","I317","F23","father-child",4
"I89","I317","F23","mother-child",5
"I88","I318","F23","father-child",4
"I89","I318","F23","mother-child",5
"I70","I91","F24","wife-husband",4
"I70","I92","F25","wife-husband",4
"I94","I6","F26","wife-husband",6
"I6","I95","F26","father-child",5
"I94","I95","F26","mother-child",6
"I6","I96","F26","father-child",5
"I94","I96","F26","mother-child",6
"I6","I97","F26","father-child",5
"I94","I97","F26","mother-child",6
"I6","I98","F26","father-child",5
"I94","I98","F26","mother-child",6
"I6","I99","F26","father-child",5
"I94","I99","F26","mother-child",6
"I38","I100","F27","wife-husband",3
"I100","I101","F27","father-child",3
"I38","I101","F27","mother-child",3
"I100","I238","F27","father-child",3
"I38","I238","F27","mother-child",3
"I100","I102","F27","father-child",3
"I38","I102","F27","mother-child",3
"I100","I103","F27","father-child",3
"I38","I103","F27","mother-child",3
"I101","I104","F28","wife-husband",2
"I104","I147","F28","father-child",2
"I101","I147","F28","mother-child",2
"I104","I148","F28","father-child",2
"I101","I148","F28","mother-child",2
"I104","I463","F28","father-child",2
"I101","I463","F28","mother-child",2
"I104","I476","F28","father-child",2
"I101","I476","F28","mother-child",2
"I104","I57","F28","father-child",2
"I101","I57","F28","mother-child",2
"I15","I105","F29","wife-husband",4
"I105","I125","F29","father-child",5
"I15","I125","F29","mother-child",4
"I105","I952","F29","father-child",5
"I15","I952","F29","mother-child",4
"I106","I108","F30","wife-husband",4
"I108","I109","F30","father-child",5
"I106","I109","F30","mother-child",4
"I108","I110","F30","father-child",5
"I106","I110","F30","mother-child",4
"I111","I67","F31","wife-husband",5
"I67","I112","F31","father-child",4
"I111","I112","F31","mother-child",5
"I67","I113","F31","father-child",4
"I111","I113","F31","mother-child",5
"I67","I114","F31","father-child",4
"I111","I114","F31","mother-child",5
"I7","I117","F32","wife-husband",5
"I117","I310","F32","father-child",6
"I7","I310","F32","mother-child",5
"I117","I311","F32","father-child",6
"I7","I311","F32","mother-child",5
"I117","I312","F32","father-child",6
"I7","I312","F32","mother-child",5
"I117","I118","F32","father-child",6
"I7","I118","F32","mother-child",5
"I117","I313","F32","father-child",6
"I7","I313","F32","mother-child",5
"I118","I119","F33","wife-husband",6
"I120","I9","F34","wife-husband",3
"I9","I121","F34","father-child",3
"I120","I121","F34","mother-child",3
"I9","I122","F34","father-child",3
"I120","I122","F34","mother-child",3
"I9","I123","F34","father-child",3
"I120","I123","F34","mother-child",3
"I121","I124","F35","wife-husband",2
"I124","I445","F35","father-child",2
"I121","I445","F35","mother-child",2
"I124","I1059","F35","father-child",2
"I121","I1059","F35","mother-child",2
"I124","I447","F35","father-child",2
"I121","I447","F35","mother-child",2
"I124","I448","F35","father-child",2
"I121","I448","F35","mother-child",2
"I124","I449","F35","father-child",2
"I121","I449","F35","mother-child",2
"I125","I122","F36","wife-husband",5
"I122","I2155","F36","father-child",4
"I125","I2155","F36","mother-child",5
"I123","I126","F37","wife-husband",4
"I126","I1706","F37","father-child",5
"I123","I1706","F37","mother-child",4
"I24","I280","F38","wife-husband",5
"I280","I287","F38","father-child",4
"I24","I287","F38","mother-child",5
"I280","I288","F38","father-child",4
"I24","I288","F38","mother-child",5
"I280","I289","F38","father-child",4
"I24","I289","F38","mother-child",5
"I131","I130","F39","wife-husband",5
"I130","I141","F39","father-child",5
"I131","I141","F39","mother-child",5
"I130","I202","F39","father-child",5
"I131","I202","F39","mother-child",5
"I130","I203","F39","father-child",5
"I131","I203","F39","mother-child",5
"I130","I204","F39","father-child",5
"I131","I204","F39","mother-child",5
"I130","I133","F39","father-child",5
"I131","I133","F39","mother-child",5
"I130","I209","F39","father-child",5
"I131","I209","F39","mother-child",5
"I130","I210","F39","father-child",5
"I131","I210","F39","mother-child",5
"I130","I212","F39","father-child",5
"I131","I212","F39","mother-child",5
"I130","I213","F39","father-child",5
"I131","I213","F39","mother-child",5
"I130","I132","F39","father-child",5
"I131","I132","F39","mother-child",5
"I130","I214","F39","father-child",5
"I131","I214","F39","mother-child",5
"I130","I215","F39","father-child",5
"I131","I215","F39","mother-child",5
"I130","I216","F39","father-child",5
"I131","I216","F39","mother-child",5
"I130","I217","F39","father-child",5
"I131","I217","F39","mother-child",5
"I130","I218","F39","father-child",5
"I131","I218","F39","mother-child",5
"I134","I132","F40","wife-husband",4
"I132","I262","F40","father-child",4
"I134","I262","F40","mother-child",4
"I132","I135","F40","father-child",4
"I134","I135","F40","mother-child",4
"I132","I136","F40","father-child",4
"I134","I136","F40","mother-child",4
"I136","I137","F41","wife-husband",3
"I137","I30","F41","father-child",3
"I136","I30","F41","mother-child",3
"I137","I278","F41","father-child",3
"I136","I278","F41","mother-child",3
"I137","I279","F41","father-child",3
"I136","I279","F41","mother-child",3
"I137","I280","F41","father-child",3
"I136","I280","F41","mother-child",3
"I138","I133","F42","wife-husband",5
"I133","I1","F42","father-child",5
"I138","I1","F42","mother-child",5
"I140","I139","F43","wife-husband",5
"I139","I1737","F43","father-child",5
"I140","I1737","F43","mother-child",5
"I139","I2","F43","father-child",5
"I140","I2","F43","mother-child",5
"I142","I141","F44","wife-husband",7
"I143","I141","F45","wife-husband",7
"I141","I144","F45","father-child",6
"I143","I144","F45","mother-child",7
"I146","I145","F46","wife-husband",2
"I145","I173","F46","father-child",2
"I146","I173","F46","mother-child",2
"I145","I174","F46","father-child",2
"I146","I174","F46","mother-child",2
"I145","I175","F46","father-child",2
"I146","I175","F46","mother-child",2
"I145","I176","F46","father-child",2
"I146","I176","F46","mother-child",2
"I145","I177","F46","father-child",2
"I146","I177","F46","mother-child",2
"I145","I178","F46","father-child",2
"I146","I178","F46","mother-child",2
"I145","I179","F46","father-child",2
"I146","I179","F46","mother-child",2
"I145","I180","F46","father-child",2
"I146","I180","F46","mother-child",2
"I145","I51","F46","father-child",2
"I146","I51","F46","mother-child",2
"I145","I181","F46","father-child",2
"I146","I181","F46","mother-child",2
"I157","I149","F47","wife-husband",6
"I149","I158","F47","father-child",6
"I157","I158","F47","mother-child",6
"I149","I159","F47","father-child",6
"I157","I159","F47","mother-child",6
"I149","I160","F47","father-child",6
"I157","I160","F47","mother-child",6
"I149","I1362","F47","father-child",6
"I157","I1362","F47","mother-child",6
"I161","I160","F48","wife-husband",8
"I97","I83","F49","wife-husband",6
"I163","I152","F50","wife-husband",4
"I152","I1355","F50","father-child",5
"I163","I1355","F50","mother-child",4
"I152","I164","F50","father-child",5
"I163","I164","F50","mother-child",4
"I154","I2675","F51","wife-husband",6
"I2675","I166","F51","father-child",7
"I154","I166","F51","mother-child",6
"I2675","I1562","F51","father-child",7
"I154","I1562","F51","mother-child",6
"I2675","I1563","F51","father-child",7
"I154","I1563","F51","mother-child",6
"I2675","I1564","F51","father-child",7
"I154","I1564","F51","mother-child",6
"I2675","I1565","F51","father-child",7
"I154","I1565","F51","mother-child",6
"I2675","I1566","F51","father-child",7
"I154","I1566","F51","mother-child",6
"I2675","I1567","F51","father-child",7
"I154","I1567","F51","mother-child",6
"I166","I167","F52","wife-husband",7
"I168","I60","F53","wife-husband",2
"I60","I827","F53","father-child",1
"I168","I827","F53","mother-child",2
"I60","I2958","F53","father-child",1
"I168","I2958","F53","mother-child",2
"I170","I169","F54","wife-husband",3
"I169","I822","F54","father-child",3
"I170","I822","F54","mother-child",3
"I169","I168","F54","father-child",3
"I170","I168","F54","mother-child",3
