year,startdate,enddate,exact_duration,continent,country,region,label,enjoyment,transport,with_ralph,with_father,with_mother,with_other,type,notes
1988,16/07/88,31/07/88,unknown,netherlands,Netherlands,Zeeland,Netherlands,unknown,car,n,y,y,,sun,
1989,22/07/89,05/08/89,unknown,netherlands,Netherlands,Zeeland,Netherlands,unknown,car,n,y,y,,sun,
1990,21/07/90,04/08/90,unknown,france,France,Bretagne,France,unknown,car,n,y,y,,sun,
1990,22/12/90,29/12/90,unknown,netherlands,Netherlands,Zeeland,Netherlands,unknown,car,n,y,y,grandma,christmas,
1991,20/07/91,10/08/91,unknown,netherlands,Netherlands,Zeeland,Netherlands,unknown,car,n,y,y,,sun,
1992,18/07/92,08/08/92,unknown,netherlands,Netherlands,Zeeland,Netherlands,unknown,car,n,y,y,,sun,
1993,24/07/93,14/08/93,unknown,france,France,Limoges,France,8,car,n,y,y,,sun,
1994,23/07/94,20/08/94,unknown,france,France,Vendee,France,unknown,car,n,y,y,,sun,
1995,29/07/95,25/08/95,unknown,france,France,Gap,France,8,car,n,y,y,,sun,
1996,27/07/96,17/08/96,unknown,france,France,Marseille,France,9,car,n,y,y,,sun,
1997,12/07/97,16/08/97,exact,carribean,Curacao,,Curacao,9,plane,n,y,y,,sun,
1998,12/05/98,16/05/98,exact,france,France,Disneyland,Disneyland Paris,10,car,n,y,y,,disney,
1998,18/07/98,15/08/98,unknown,france,France,L'Herault,France,9,car,n,y,y,,sun,english girlfriend
1999,24/07/99,14/08/99,unknown,netherlands,Netherlands,Zeeland,Netherlands,7,car,n,y,y,,sun,solar eclipse
2000,22/07/00,12/08/00,unknown,netherlands,Netherlands,Zeeland,Netherlands,8,car,n,y,y,,sun,
2001,28/04/01,05/05/01,exact,turkey,Turkey,Belek,Turkey,7,plane,n,y,y,,sun,
2001,22/07/01,27/07/01,exact,france,France,Paris,Paris,10,car,n,y,n,,culture,
2001,28/07/01,09/08/01,exact,france,France,Vendee,France,8,car,n,y,n,,sun,
2002,01/05/02,04/05/02,exact,europe,United Kingdom,London,London,8,boat,n,y,n,,culture,
