"source","target","const_culture","const_abbr","const_id"
96465,98688,"arabic","040","arabic-040"
98688,98842,"arabic","040","arabic-040"
98842,98412,"arabic","040","arabic-040"
98412,98761,"arabic","040","arabic-040"
98761,98032,"arabic","040","arabic-040"
98412,95347,"arabic","040","arabic-040"
95347,95241,"arabic","040","arabic-040"
90496,88635,"arabic","040","arabic-040"
89642,91918,"arabic","040","arabic-040"
91918,93506,"arabic","040","arabic-040"
85927,86670,"arabic","041","arabic-041"
86670,87073,"arabic","041","arabic-041"
87073,86228,"arabic","041","arabic-041"
86228,84143,"arabic","041","arabic-041"
84143,82671,"arabic","041","arabic-041"
82671,82514,"arabic","041","arabic-041"
82514,82396,"arabic","041","arabic-041"
82396,81266,"arabic","041","arabic-041"
81266,80763,"arabic","041","arabic-041"
80763,78401,"arabic","041","arabic-041"
80763,78265,"arabic","041","arabic-041"
80763,78820,"arabic","041","arabic-041"
25428,21881,"arabic","042","arabic-042"
21881,20889,"arabic","042","arabic-042"
21421,26451,"arabic","042","arabic-042"
20205,20455,"arabic","042","arabic-042"
20205,18724,"arabic","042","arabic-042"
18724,15900,"arabic","042","arabic-042"
21421,20889,"arabic","042","arabic-042"
21421,20894,"arabic","042","arabic-042"
20894,20205,"arabic","042","arabic-042"
20889,20648,"arabic","042","arabic-042"
20648,20455,"arabic","042","arabic-042"
20455,17847,"arabic","042","arabic-042"
10559,10064,"arabic","043","arabic-043"
10064,8796,"arabic","043","arabic-043"
8796,10559,"arabic","043","arabic-043"
67301,65378,"arabic","044","arabic-044"
65378,62956,"arabic","044","arabic-044"
62956,59774,"arabic","044","arabic-044"
59774,54061,"arabic","044","arabic-044"
54061,53910,"arabic","044","arabic-044"
53910,58001,"arabic","044","arabic-044"
58001,59774,"arabic","044","arabic-044"
58001,57399,"arabic","044","arabic-044"
57399,54539,"arabic","044","arabic-044"
54539,50372,"arabic","044","arabic-044"
54539,50801,"arabic","044","arabic-044"
53910,48402,"arabic","044","arabic-044"
48402,46853,"arabic","044","arabic-044"
46853,44471,"arabic","044","arabic-044"
46853,44127,"arabic","044","arabic-044"
48402,48319,"arabic","044","arabic-044"
48319,41704,"arabic","044","arabic-044"
41704,46733,"arabic","044","arabic-044"
46733,54061,"arabic","044","arabic-044"
57399,55219,"arabic","044","arabic-044"
57399,55203,"arabic","044","arabic-044"
11767,85822,"arabic","045","arabic-045"
85822,82080,"arabic","045","arabic-045"
82080,77055,"arabic","045","arabic-045"
77055,79822,"arabic","045","arabic-045"
79822,75097,"arabic","045","arabic-045"
75097,72607,"arabic","045","arabic-045"
72607,77055,"arabic","045","arabic-045"
30438,32768,"arabic","046","arabic-046"
32768,37469,"arabic","046","arabic-046"
28328,31685,"arabic","046","arabic-046"
31685,37004,"arabic","046","arabic-046"
35264,38170,"arabic","046","arabic-046"
38170,39757,"arabic","046","arabic-046"
39757,39429,"arabic","046","arabic-046"
39429,44816,"arabic","046","arabic-046"
44816,46651,"arabic","046","arabic-046"
46651,50191,"arabic","046","arabic-046"
50191,48774,"arabic","046","arabic-046"
48774,45556,"arabic","046","arabic-046"
45556,41037,"arabic","046","arabic-046"
41037,38827,"arabic","046","arabic-046"
38827,35264,"arabic","046","arabic-046"
39429,42515,"arabic","046","arabic-046"
42515,42828,"arabic","046","arabic-046"
42828,43409,"arabic","046","arabic-046"
57380,60030,"arabic","047","arabic-047"
60030,61941,"arabic","047","arabic-047"
61941,65474,"arabic","047","arabic-047"
65474,69427,"arabic","047","arabic-047"
69427,69701,"arabic","047","arabic-047"
69701,71957,"arabic","047","arabic-047"
65474,66249,"arabic","047","arabic-047"
66249,68520,"arabic","047","arabic-047"
68520,72220,"arabic","047","arabic-047"
66249,63090,"arabic","047","arabic-047"
63090,63608,"arabic","047","arabic-047"
63090,61941,"arabic","047","arabic-047"
77516,77622,"arabic","048","arabic-048"
77622,77070,"arabic","048","arabic-048"
77070,76276,"arabic","048","arabic-048"
76276,77233,"arabic","048","arabic-048"
77233,78072,"arabic","048","arabic-048"
78072,77450,"arabic","048","arabic-048"
77450,77233,"arabic","048","arabic-048"
92946,89962,"arabic","048","arabic-048"
89962,86565,"arabic","048","arabic-048"
86565,86263,"arabic","048","arabic-048"
86263,84880,"arabic","048","arabic-048"
77634,78970,"arabic","049","arabic-049"
78970,78384,"arabic","049","arabic-049"
78384,77634,"arabic","049","arabic-049"
78384,76297,"arabic","049","arabic-049"
76297,75141,"arabic","049","arabic-049"
75141,75177,"arabic","049","arabic-049"
75141,73273,"arabic","049","arabic-049"
76297,76552,"arabic","049","arabic-049"
76552,74395,"arabic","049","arabic-049"
74395,71860,"arabic","049","arabic-049"
74395,71536,"arabic","049","arabic-049"
71860,70576,"arabic","049","arabic-049"
71860,73273,"arabic","049","arabic-049"
8832,8903,"arabic_moon_stations","001","arabic_moon_stations-001"
8903,9884,"arabic_moon_stations","001","arabic_moon_stations-001"
14838,13914,"arabic_moon_stations","002","arabic_moon_stations-002"
13914,13702,"arabic_moon_stations","002","arabic_moon_stations-002"
13702,14838,"arabic_moon_stations","002","arabic_moon_stations-002"
17847,17608,"arabic_moon_stations","003","arabic_moon_stations-003"
17608,17499,"arabic_moon_stations","003","arabic_moon_stations-003"
17499,17489,"arabic_moon_stations","003","arabic_moon_stations-003"
17489,17579,"arabic_moon_stations","003","arabic_moon_stations-003"
17579,17847,"arabic_moon_stations","003","arabic_moon_stations-003"
21421,20894,"arabic_moon_stations","004","arabic_moon_stations-004"
20894,20205,"arabic_moon_stations","004","arabic_moon_stations-004"
20205,20455,"arabic_moon_stations","004","arabic_moon_stations-004"
20455,20889,"arabic_moon_stations","004","arabic_moon_stations-004"
26207,26176,"arabic_moon_stations","005","arabic_moon_stations-005"
26176,26366,"arabic_moon_stations","005","arabic_moon_stations-005"
26366,26207,"arabic_moon_stations","005","arabic_moon_stations-005"
31681,32362,"arabic_moon_stations","006","arabic_moon_stations-006"
36850,37826,"arabic_moon_stations","007","arabic_moon_stations-007"
42806,42556,"arabic_moon_stations","008","arabic_moon_stations-008"
42556,42911,"arabic_moon_stations","008","arabic_moon_stations-008"
44798,46750,"arabic_moon_stations","009","arabic_moon_stations-009"
50335,50583,"arabic_moon_stations","010","arabic_moon_stations-010"
50583,49583,"arabic_moon_stations","010","arabic_moon_stations-010"
49583,49669,"arabic_moon_stations","010","arabic_moon_stations-010"
54872,54879,"arabic_moon_stations","011","arabic_moon_stations-011"
57632,57632,"arabic_moon_stations","012","arabic_moon_stations-012"
63608,63090,"arabic_moon_stations","013","arabic_moon_stations-013"
63090,61941,"arabic_moon_stations","013","arabic_moon_stations-013"
61941,60129,"arabic_moon_stations","013","arabic_moon_stations-013"
60129,57757,"arabic_moon_stations","013","arabic_moon_stations-013"
65474,65474,"arabic_moon_stations","014","arabic_moon_stations-014"
69701,69427,"arabic_moon_stations","015","arabic_moon_stations-015"
69427,69974,"arabic_moon_stations","015","arabic_moon_stations-015"
72622,74785,"arabic_moon_stations","016","arabic_moon_stations-016"
78820,78401,"arabic_moon_stations","017","arabic_moon_stations-017"
78401,78265,"arabic_moon_stations","017","arabic_moon_stations-017"
78265,76742,"arabic_moon_stations","017","arabic_moon_stations-017"
76742,76880,"arabic_moon_stations","017","arabic_moon_stations-017"
76880,77853,"arabic_moon_stations","017","arabic_moon_stations-017"
77853,78820,"arabic_moon_stations","017","arabic_moon_stations-017"
76880,78401,"arabic_moon_stations","017","arabic_moon_stations-017"
80763,80763,"arabic_moon_stations","018","arabic_moon_stations-018"
85927,85696,"arabic_moon_stations","019","arabic_moon_stations-019"
89931,90185,"arabic_moon_stations","020","arabic_moon_stations-020"
90185,93506,"arabic_moon_stations","020","arabic_moon_stations-020"
93506,92041,"arabic_moon_stations","020","arabic_moon_stations-020"
92041,89931,"arabic_moon_stations","020","arabic_moon_stations-020"
88635,89642,"arabic_moon_stations","020","arabic_moon_stations-020"
89642,90185,"arabic_moon_stations","020","arabic_moon_stations-020"
90185,89931,"arabic_moon_stations","020","arabic_moon_stations-020"
89931,88635,"arabic_moon_stations","020","arabic_moon_stations-020"
92855,93864,"arabic_moon_stations","020","arabic_moon_stations-020"
93864,93506,"arabic_moon_stations","020","arabic_moon_stations-020"
93506,92041,"arabic_moon_stations","020","arabic_moon_stations-020"
92041,92855,"arabic_moon_stations","020","arabic_moon_stations-020"
89931,90496,"arabic_moon_stations","020","arabic_moon_stations-020"
90496,92041,"arabic_moon_stations","020","arabic_moon_stations-020"
97290,96760,"arabic_moon_stations","021","arabic_moon_stations-021"
96760,95503,"arabic_moon_stations","021","arabic_moon_stations-021"
95503,95564,"arabic_moon_stations","021","arabic_moon_stations-021"
95564,96440,"arabic_moon_stations","021","arabic_moon_stations-021"
96440,97290,"arabic_moon_stations","021","arabic_moon_stations-021"
100027,100310,"arabic_moon_stations","022","arabic_moon_stations-022"
100310,100345,"arabic_moon_stations","022","arabic_moon_stations-022"
102618,103045,"arabic_moon_stations","023","arabic_moon_stations-023"
103045,104459,"arabic_moon_stations","023","arabic_moon_stations-023"
106278,106786,"arabic_moon_stations","024","arabic_moon_stations-024"
106786,107382,"arabic_moon_stations","024","arabic_moon_stations-024"
110672,110960,"arabic_moon_stations","025","arabic_moon_stations-025"
110960,111497,"arabic_moon_stations","025","arabic_moon_stations-025"
110395,110960,"arabic_moon_stations","025","arabic_moon_stations-025"
113881,113963,"arabic_moon_stations","026","arabic_moon_stations-026"
677,1067,"arabic_moon_stations","027","arabic_moon_stations-027"
3881,3231,"arabic_moon_stations","028","arabic_moon_stations-028"
3231,2912,"arabic_moon_stations","028","arabic_moon_stations-028"
2912,3031,"arabic_moon_stations","028","arabic_moon_stations-028"
3031,3693,"arabic_moon_stations","028","arabic_moon_stations-028"
3693,5454,"arabic_moon_stations","028","arabic_moon_stations-028"
5454,5571,"arabic_moon_stations","028","arabic_moon_stations-028"
5571,6193,"arabic_moon_stations","028","arabic_moon_stations-028"
6193,6315,"arabic_moon_stations","028","arabic_moon_stations-028"
6315,5447,"arabic_moon_stations","028","arabic_moon_stations-028"
5447,3881,"arabic_moon_stations","028","arabic_moon_stations-028"
26727,26311,"aztec","001","aztec-001"
26311,25930,"aztec","001","aztec-001"
26311,26237,"aztec","001","aztec-001"
26237,26221,"aztec","001","aztec-001"
26221,26199,"aztec","001","aztec-001"
17847,17664,"aztec","002","aztec-002"
17664,17579,"aztec","002","aztec-002"
17579,17531,"aztec","002","aztec-002"
17531,17489,"aztec","002","aztec-002"
17489,17499,"aztec","002","aztec-002"
17499,17608,"aztec","002","aztec-002"
17608,17847,"aztec","002","aztec-002"
37826,36850,"aztec","003","aztec-003"
36850,34693,"aztec","003","aztec-003"
34693,32246,"aztec","003","aztec-003"
32246,30343,"aztec","003","aztec-003"
30343,30883,"aztec","003","aztec-003"
30883,31681,"aztec","003","aztec-003"
31681,34088,"aztec","003","aztec-003"
34088,36962,"aztec","003","aztec-003"
36962,37826,"aztec","003","aztec-003"
11767,85822,"aztec","004","aztec-004"
85822,82080,"aztec","004","aztec-004"
82080,77055,"aztec","004","aztec-004"
77055,72607,"aztec","004","aztec-004"
72607,75097,"aztec","004","aztec-004"
75097,79822,"aztec","004","aztec-004"
85927,86670,"aztec","005","aztec-005"
86670,87073,"aztec","005","aztec-005"
87073,86228,"aztec","005","aztec-005"
86228,84143,"aztec","005","aztec-005"
84143,82671,"aztec","005","aztec-005"
82671,82514,"aztec","005","aztec-005"
