"hip","proper","ra","dec","mag","t_eff"
677,"Alpheratz",0.139791,29.090432,2.07,10158
695,"",0.142462,63.20404,6.41,4853
696,"",0.142638,-17.578155,6.11,3596
699,"",0.14471,36.627125,6.21,6268
716,"",0.147814,25.462985,6.24,4896
728,"",0.150045,28.247543,6.47,7527
729,"",0.150672,18.211963,5.57,4768
730,"",0.15066,-54.001931,6.32,5452
746,"Caph",0.152887,59.14978,2.28,6823
760,"",0.155525,79.714545,6.01,7750
761,"",0.155851,-27.987928,5.42,6663
765,"",0.156836,-45.747426,3.88,4824
798,"",0.164474,-62.296794,6.34,7991
813,"",0.167278,11.145813,5.54,10703
814,"",0.167293,-82.224047,5.29,4757
840,"",0.171908,-5.248588,5.84,4902
841,"",0.172012,46.072272,5.01,6705
873,"",0.178565,-12.579897,5.84,4849
910,"",0.187739,-15.467977,4.89,6340
930,"",0.192894,-27.799737,5.41,4248
950,"",0.195552,-35.133119,5.24,6461
967,"",0.199741,48.152396,6.18,4048
983,"",0.202773,-17.938278,5.29,4029
1009,"",0.209484,44.707195,6.5,4643
1067,"Algenib",0.220598,15.183596,2.83,16153
1074,"",0.222099,-84.993978,5.78,3422
1076,"",0.223312,26.987545,6.24,5625
1086,"",0.22524,41.03537,5.71,7062
1096,"",0.228401,-26.022345,5.94,3897
1099,"",0.228994,-26.284959,6.14,4008
1123,"",0.233967,33.206039,6.22,9406
1158,"",0.241008,-7.780532,5.13,3777
1168,"",0.243378,20.206702,4.79,3846
1170,"",0.244005,-18.932866,4.44,3671
1191,"",0.248476,-9.569571,5.77,11207
1193,"",0.24886,22.284225,6.25,9589
1195,"",0.249515,-34.904223,6.17,4251
1196,"",0.249677,8.820962,6.02,7157
1208,"",0.25193,31.535725,6.34,3883
1215,"",0.252934,27.28344,6.35,9560
1269,"",0.265239,61.000172,6.43,5193
1268,"",0.265257,-75.911615,6.49,4882
1288,"",0.269126,-31.446394,5.66,4241
1296,"",0.270527,76.950755,6.35,10274
1302,"",0.272645,43.595049,6.12,8737
1319,"",0.276122,8.240154,6.12,5012
1331,"",0.278429,-20.210061,6.5,11938
1354,"",0.282513,61.533185,5.74,5057
1366,"",0.284863,38.681636,4.61,8825
1372,"",0.285845,47.947405,5.86,11073
1402,"",0.292417,-19.051092,6.46,6794
1415,"",0.295295,51.43309,6.11,13725
1421,"",0.296583,1.688727,6.19,4975
1465,"",0.304791,11.206214,6.07,4781
1473,"",0.305463,36.785224,4.51,8876
1493,"",0.310625,31.517227,5.88,9742
1499,"",0.311629,-8.053001,6.47,5644
1501,"",0.311712,43.791141,6.1,10944
1502,"",0.31182,-43.235571,6.33,4473
1562,"",0.323799,-8.823921,3.56,4466
1575,"",0.328212,40.729461,6.35,4526
1599,"",0.334142,-64.874791,4.23,5984
1630,"",0.340111,30.935614,5.89,11615
1639,"",0.341924,48.968633,6.46,6029
1645,"",0.343295,8.190271,5.38,4252
1647,"",0.344178,-69.624913,5.5,10314
1657,"",0.345978,32.911186,5.79,3792
1686,"",0.352017,37.968603,5.16,6536
1706,"",0.357986,-77.426873,5.96,4165
1708,"",0.358665,-28.981469,5.18,4838
1728,"",0.362853,-20.058024,5.61,3828
1772,"",0.373745,13.482488,6.25,4448
1803,"",0.381051,-12.209438,6.39,5693
1821,"",0.384554,-15.942556,6.43,3792
1921,"",0.404348,52.019914,5.58,12007
1939,"",0.408236,-2.219064,6.08,4463
1948,"",0.410599,14.315514,6.48,4557
1960,"",0.413193,61.831057,5.38,9419
1982,"",0.418445,53.046786,5.72,10523
2006,"",0.423391,1.939692,5.77,5153
2021,"",0.427916,-77.254247,2.82,5831
2025,"",0.428309,7.691122,6.77,4323
2072,"",0.436716,-43.679829,3.93,7921
2081,"Ankaa",0.438056,-42.305981,2.4,4695
2086,"",0.439375,-18.693632,6.24,3723
2100,"",0.443726,-0.049533,6.16,5068
2159,"",0.454085,-25.54717,5.99,4807
2178,"",0.45863,16.025483,6.44,7594
2210,"",0.465472,-33.007167,4.86,3689
2213,"",0.466241,19.514039,6.4,4869
2219,"",0.467475,17.893125,5.01,3818
2224,"",0.470195,16.445065,6.05,3828
2225,"",0.470454,44.394452,5.18,8992
2235,"",0.472236,10.189848,6.05,6514
2237,"",0.472528,-20.335051,6.44,5917
2240,"",0.474027,-39.915002,5.42,3880
2256,"",0.478632,-50.532859,6.26,4682
2270,"",0.482406,36.899694,6.28,5018
2337,"",0.497748,-14.864109,6.15,6785
2353,"",0.500655,-3.957332,5.72,3903
2355,"",0.502045,29.751557,5.2,7370
2377,"",0.505534,59.977554,5.94,9575
2381,"",0.506293,-23.78768,5.17,8239
2383,"",0.507242,-48.21491,5.67,6885
2388,"",0.507729,-40.939586,6.18,7142
2422,"",0.51511,77.019404,6.18,5090
2472,"",0.523594,-48.803514,4.76,9288
2474,"",0.52367,66.519617,6.18,11677
2475,"",0.523787,33.581642,5.88,4606
2484,"",0.525725,-62.958218,4.36,10703
2487,"",0.525946,-62.965561,4.53,8105
2497,"",0.528105,52.839526,5.59,4554
2505,"",0.529539,54.522289,4.74,11615
2548,"",0.539939,6.955463,5.69,9742
2568,"",0.543189,20.294316,5.38,4720
2578,"",0.545512,-63.0315,5.07,9048
2583,"",0.546969,28.280241,6.26,4918
2599,"",0.549997,62.931783,4.17,8224
2611,"",0.552879,54.894985,5.93,4779
2628,"",0.55534,70.981843,6.41,9634
2629,"",0.556463,-71.266246,6.11,7402
2661,"",0.561401,-29.558278,5.55,4386
2663,"",0.56217,-35.002078,6.41,5835
2707,"",0.573583,66.750351,6.47,10375
2711,"",0.574374,-52.37309,5.57,6404
2734,"",0.582046,13.371137,6.39,4601
2762,"",0.587466,-3.592846,5.2,6017
2787,"",0.592454,-0.50561,5.94,6527
2789,"",0.592591,-54.821873,6.04,4847
2802,"",0.594767,-48.000907,5.51,6452
2832,"",0.598557,13.207067,6.32,6215
2846,"",0.600877,-14.973035,6.45,4731
2852,"",0.601906,-22.842333,6.06,7234
2854,"",0.602306,54.16845,5.08,11615
2876,"",0.607595,60.326215,5.78,7249
2889,"",0.610449,-65.124445,6.43,4389
2900,"",0.612903,44.488587,5.14,3811
2903,"",0.613142,15.231725,5.89,13478
2912,"",0.61468,33.719344,4.34,12482
2920,"",0.616188,53.896909,3.69,16623
2926,"",0.618664,24.014136,6.18,4541
2937,"",0.621727,-54.393819,6.4,4859
2941,"",0.622393,-24.767267,5.57,5519
2942,"",0.622561,35.399501,5.45,5083
2954,"",0.625136,3.135351,6.43,4259
3031,"",0.642602,29.311751,4.34,5117
3056,"",0.646883,-25.107819,6.43,4022
3083,"",0.652748,49.354589,5.45,3659
3092,"",0.655462,30.861024,3.27,4376
3093,"",0.656063,21.250472,5.88,5165
3132,"",0.663247,82.493762,6.38,6079
3137,"",0.664428,-44.796293,6,4590
3138,"",0.665436,21.438495,5.36,4559
3170,"",0.673659,-59.454604,5.89,6029
3175,"",0.674606,-16.516676,6.49,5031
3179,"Shedir",0.675116,56.537331,2.24,4541
3185,"",0.675771,-23.804876,6.14,5510
3193,"",0.678437,-4.351841,5.9,4680
3231,"",0.68533,39.458664,5.3,5072
3245,"",0.688766,-46.085007,4.59,4942
3269,"",0.693343,24.629008,6.06,7229
3277,"",0.69621,-56.501315,5.72,8217
3293,"",0.700397,40.688258,7.03,6492
3299,"",0.700953,66.147592,5.83,4770
3300,"",0.701081,50.512526,4.8,11838
3330,"",0.707869,-65.46803,5.38,6223
3334,"",0.708618,58.753411,6.18,9589
3352,"",0.711609,-60.262807,5.99,4293
3356,"",0.711914,-38.463483,6.05,9907
3405,"",0.722567,-57.46306,4.36,9213
3414,"",0.724466,47.024546,4.95,7952
3419,"Diphda",0.72649,-17.986605,2.04,4813
3436,"",0.73058,-12.011813,6.01,4652
3455,"",0.7365,-10.60955,4.77,4853
3456,"",0.736683,-38.421686,5.9,4587
3478,"",0.740612,47.863984,5.66,12111
3489,"",0.742107,-62.497591,6.06,6518
3504,"",0.74542,48.284364,4.48,10821
3505,"",0.745666,-22.006135,5.22,6968
3521,"",0.749187,-42.676558,5.94,7234
3527,"",0.749959,-53.714895,6.15,6186
3544,"",0.754774,55.221396,5.41,9237
3552,"",0.756702,-4.62916,6.15,3635
3559,"",0.757969,-12.88081,6.15,5884
3572,"",0.760862,74.988073,5.64,8644
3576,"",0.761585,-16.42422,6.47,7147
3583,"",0.76265,-47.551985,5.8,5773
3604,"",0.769669,44.861497,6.03,10680
3607,"",0.769929,-22.522097,5.49,4892
3632,"",0.775822,15.475504,5.36,3874
3641,"",0.777313,69.325408,6.39,6618
3649,"",0.778462,59.574539,6.41,4699
3675,"",0.783738,11.973849,5.51,4875
3677,"",0.784232,41.964834,8.9,6285
3685,"",0.787118,19.578702,6.11,7375
3693,"",0.788981,24.267178,4.08,4664
3697,"",0.789898,6.740956,5.98,4966
3717,"",0.795339,-18.061339,5.7,4323
3721,"",0.796119,74.847573,5.42,10749
3741,"",0.800296,-21.722492,5.57,10567
3750,"",0.802487,72.674482,5.86,4830
3760,"",0.804836,7.299928,5.92,4657
3765,"96 G. Psc",0.806382,5.280615,5.74,5074
3781,"",0.809777,-74.923438,5.09,4249
3786,"",0.811373,7.585079,4.44,3990
3801,"",0.813892,50.968168,4.9,11405
3807,"",0.815758,-46.697648,6.28,5059
3810,"",0.816308,16.940644,5.07,6277
3821,"",0.81826,57.815187,3.46,5943
3834,"",0.82054,-24.136672,5.9,4960
3849,"",0.823782,-13.561274,5.59,4282
3858,"",0.825953,-23.362144,6.27,8210
3881,"",0.830234,41.078911,4.53,13018
3885,"",0.831433,27.710286,5.55,6738
3903,"",0.834379,-43.394921,6.49,7291
3909,"",0.835443,-10.644326,5.17,6227
3919,"",0.838403,45.002258,6.13,8992
3949,"",0.844768,-50.986816,5.24,6938
3951,"",0.845442,64.247549,5.35,6170
3965,"",0.849263,51.508032,6.38,7183
3988,"",0.854551,61.805494,6.04,2329
3992,"",0.85509,3.38502,6.39,4720
4023,"",0.859386,51.571427,6.22,9117
4104,"",0.877951,-24.005844,5.47,4364
4147,"",0.883471,-1.14426,4.78,3893
4151,"",0.884511,61.12397,4.8,6122
4164,"",0.886793,-24.776876,6.44,6550
4185,"",0.891173,37.418209,6.07,4595
4200,"",0.893839,-62.871352,5.73,3841
4212,"",0.896547,52.689293,6.27,7822
4257,"",0.904887,-8.740662,6.15,5029
4267,"",0.909785,19.188417,5.8,9774
4283,"",0.914667,83.707435,5.59,8415
4288,"",0.916139,23.628335,5.46,4826
4292,"",0.916715,58.972698,4.83,4463
4293,"",0.916751,-69.527084,5.45,4673
4298,"",0.918114,48.67852,6.28,3536
4317,"",0.920742,24.557062,6.19,3901
4346,"",0.928444,-7.347149,5.88,3952
4363,"",0.932093,-27.775839,6.11,3561
4366,"",0.93292,27.209381,6.08,8203
4371,"",0.933747,-11.266526,5.35,3980
4382,"",0.935867,13.95196,6.46,4924
4383,"",0.936931,57.996557,6.2,4199
4422,"",0.944432,59.181056,4.62,4934
4427,"Cih",0.945143,60.71674,2.15,10314
4436,"",0.945885,38.499345,3.86,8224
4440,"",0.946377,60.362836,5.56,10480
4446,"",0.948624,68.775657,6.39,6847
4463,"",0.953445,23.417648,4.4,4968
4475,"",0.955435,61.421895,6.44,4968
4501,"",0.961012,45.839379,6.1,4796
4510,"",0.963931,28.992217,5.44,4708
4520,"",0.965142,13.695865,6.3,5064
4552,"",0.970615,33.950885,5.99,4849
4558,"",0.971915,21.404495,6.47,8547
4563,"",0.972834,-60.696239,6.23,8488
4572,"",0.975285,66.351793,5.97,9649
4577,"",0.976766,-29.357449,4.3,13879
4587,"",0.978852,-11.379975,5.62,4950
4655,"",0.997135,6.483225,6.14,3628
4675,"",1.000988,44.713243,5.69,9680
4709,"",1.008587,70.982988,6.4,8188
4714,"",1.00916,65.115068,8.36,7762
4770,"",1.02174,-38.916527,5.59,4516
4786,"",1.024179,49.54422,6.48,4666
4801,"",1.027401,-16.265573,6.47,4517
4829,"",1.033838,-57.002389,6.12,4979
4844,"",1.038463,51.034938,6.48,8283
4852,"",1.040674,-31.552005,5.5,8600
4879,"",1.04525,-65.456102,6.25,3689
4889,"",1.046971,31.804263,5.5,10254
4890,"",1.046997,-46.397311,5.39,5053
4893,"",1.047305,26.299391,7.21,6700
